FlightNumber,Date_Time_UTC,Version_Booster,Launch_Site,Payload,Payload_Mass,Orbit,Customer,Launch_Outcome,Booster_Landing
32.0,30 March 2017 22:27,F9 FT B1021-2,"Kennedy, LC‑39A",SES-10,"5,300 kg (11,700 lb)",GTO,SES,Success,Success (OCISLY)
33.0,1 May 2017 11:15,F9 FT B1032-1,"Kennedy, LC‑39A",NROL-76,Classified,LEO,NRO,Success,Success (LZ‑1)
34.0,15 May 2017 23:21,F9 FT B1034-1,"Kennedy, LC‑39A",Inmarsat-5 F4,"6,070 kg (13,380 lb)",GTO,Inmarsat,Success,No attempt
35.0,3 June 2017 21:07,F9 FT B1035-1,"Kennedy, LC‑39A",SpaceX CRS-11 (Dragon C106.2),"2,708 kg (5,970 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
36.0,23 June 2017 19:10,F9 FT B1029-2,"Kennedy, LC‑39A",BulgariaSat-1,"3,669 kg (8,089 lb)",GTO,Bulsatcom,Success,Success (OCISLY)
37.0,25 June 2017 20:25,F9 FT B1036-1,"Vandenberg, SLC‑4E",Iridium NEXT-2 (10 satellites),"9,600 kg (21,200 lb)",LEO,Iridium Communications,Success,Success (JRTI)
38.0,5 July 2017 23:38,F9 FT B1037-1,"Kennedy, LC‑39A",Intelsat 35e,"6,761 kg (14,905 lb)",GTO,Intelsat,Success,No attempt
39.0,14 August 2017 16:31,F9 B4 B1039-1,"Kennedy, LC‑39A",SpaceX CRS-12 (Dragon C113.1),"3,310 kg (7,300 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
40.0,24 August 2017 18:51,F9 FT B1038-1,"Vandenberg, SLC‑4E",Formosat-5,"475 kg (1,047 lb)",SSO,NSPO,Success,Success (JRTI)
41.0,7 September 2017 14:00,F9 B4 B1040-1,"Kennedy, LC‑39A",Boeing X-37B OTV-5,"4,990 kg (11,000 lb) + OTV payload",LEO,USAF,Success,Success (LZ‑1)
42.0,9 October 2017 12:37,F9 B4 B1041-1,"Vandenberg, SLC‑4E",Iridium NEXT-3 (10 satellites),"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success (JRTI)
43.0,11 October 2017 22:53:00,F9 FT B1031-2,"Kennedy, LC‑39A",SES-11 / EchoStar 105,"5,400 kg (11,900 lb)",GTO,SES S.A.; EchoStar;,Success,Success (OCISLY)
44.0,30 October 2017 19:34,F9 B4 B1042-1,"Kennedy, LC‑39A",Koreasat 5A,"3,500 kg (7,700 lb)",GTO,KT Corporation,Success,Success (OCISLY)
45.0,15 December 2017 15:36,F9 FT B1035-2,"Cape Canaveral, SLC‑40",SpaceX CRS-13 (Dragon C108.2),"2,205 kg (4,861 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
46.0,23 December 2017 01:27,F9 FT B1036-2,"Vandenberg, SLC‑4E",Iridium NEXT-4 (10 satellites),"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Controlled (ocean)
47.0,8 January 2018 01:00,F9 B4 B1043-1,"Cape Canaveral, SLC‑40",Zuma,Classified,LEO,Unspecified U.S. government agency,Success,Success (LZ‑1)
48.0,31 January 2018 21:25,F9 FT B1032-2,"Cape Canaveral, SLC‑40",GovSat-1 (SES-16),"4,230 kg (9,330 lb)",GTO,SES,Success,Controlled (ocean)
49.0,22 February 2018 14:17,F9 FT B1038-2,"Vandenberg, SLC‑4E",Paz,"2,150 kg (4,740 lb)",SSO,Hisdesat,Success,No attempt
50.0,6 March 2018 05:33,F9 B4 B1044-1,"Cape Canaveral, SLC‑40",Hispasat 30W-6,"6,092 kg (13,431 lb)",GTO,Hispasat,Success,Controlled (ocean)
51.0,30 March 2018 14:14,F9 B4 B1041-2,"Vandenberg, SLC‑4E",Iridium NEXT-5 (10 satellites),"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,No attempt
52.0,2 April 2018 20:30,F9 B4 B1039-2,"Cape Canaveral, SLC‑40",SpaceX CRS-14 (Dragon C110.2),"2,647 kg (5,836 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,No attempt
53.0,18 April 2018 22:51,F9 B4 B1045-1,"Cape Canaveral, SLC‑40",Transiting Exoplanet Survey Satellite (TESS),362 kg (798 lb),HEO for P/2 orbit,NASA (LSP),Success,Success (OCISLY)
54.0,11 May 2018 20:14,F9 B5 B1046-1,"Kennedy, LC‑39A",Bangabandhu-1,"3,600 kg (7,900 lb)",GTO,Thales-Alenia / BTRC,Success,Success (OCISLY)
55.0,22 May 2018 19:47,F9 B4 B1043-2,"Vandenberg, SLC‑4E",Iridium NEXT-6 (5 satellites),"6,460 kg (14,240 lb)",Polar LEO,Iridium Communications,Success,No attempt
56.0,4 June 2018 04:45,F9 B4 B1040-2,"Cape Canaveral, SLC‑40",SES-12,"5,384 kg (11,870 lb)",GTO,SES,Success,No attempt
57.0,29 June 2018 09:42,F9 B4 B1045-2,"Cape Canaveral, SLC‑40",SpaceX CRS-15 (Dragon C111.2),"2,697 kg (5,946 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,No attempt
58.0,22 July 2018 05:50,F9 B5 B1047-1,"Cape Canaveral, SLC‑40",Telstar 19V,"7,075 kg (15,598 lb)",GTO,Telesat,Success,Success (OCISLY)
59.0,25 July 2018 11:39,F9 B5 B1048-1,"Vandenberg, SLC‑4E",Iridium NEXT-7 (10 satellites),"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success (JRTI)
60.0,7 August 2018 05:18,F9 B5 B1046-2,"Cape Canaveral, SLC‑40",Merah Putih,"5,800 kg (12,800 lb)",GTO,Telkom Indonesia,Success,Success (OCISLY)
61.0,10 September 2018 04:45,F9 B5 B1049-1,"Cape Canaveral, SLC‑40",Telstar 18V / Apstar-5C,"7,060 kg (15,560 lb)",GTO,Telesat,Success,Success (OCISLY)
62.0,8 October 2018 02:22,F9 B5 B1048-2,"Vandenberg, SLC‑4E",SAOCOM 1A,"3,000 kg (6,600 lb)",SSO,CONAE,Success,Success (LZ‑4)
63.0,15 November 2018 20:46,F9 B5 B1047-2,"Kennedy, LC‑39A",Es'hail 2,"5,300 kg (11,700 lb)",GTO,Es'hailSat,Success,Success (OCISLY)
64.0,3 December 2018 18:34:05,F9 B5 B1046-3,"Vandenberg, SLC‑4E",SSO-A,"4,000 kg (8,800 lb)",SSO,Spaceflight Industries,Success,Success (JRTI)
65.0,5 December 2018 18:16,F9 B5 B1050,"Cape Canaveral, SLC‑40",SpaceX CRS-16 (Dragon C112.2),"2,500 kg (5,500 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Failure (LZ‑1)
66.0,23 December 2018 13:51,F9 B5 B1054,"Cape Canaveral, SLC‑40",GPS III-01 (Vespucci),"4,400 kg (9,700 lb)",MEO,USAF,Success,No attempt
67.0,11 January 2019 15:31,F9 B5 B1049-2,"Vandenberg, SLC‑4E",Iridium NEXT-8 (10 satellites),"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success (JRTI)
68.0,22 February 2019 01:45,F9 B5 B1048-3,"Cape Canaveral, SLC‑40",Nusantara Satu (PSN-6),"4,850 kg (10,690 lb)",GTO,PSN,Success,Success (OCISLY)
69.0,2 March 2019 07:49,F9 B5 B1051-1,"Kennedy, LC‑39A",Crew Dragon Demo-1 (Dragon C204),"12,055 kg (26,577 lb)",LEO (ISS),NASA (CCD),Success,Success (OCISLY)
70.0,4 May 2019 06:48,F9 B5 B1056-1,"Cape Canaveral, SLC‑40",SpaceX CRS-17 (Dragon C113.2),"2,495 kg (5,501 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success (OCISLY)
71.0,24 May 2019 02:30,F9 B5 B1049-3,"Cape Canaveral, SLC‑40",Starlink: v0.9 launch (60 satellites),"13,620 kg (30,030 lb)",LEO,SpaceX,Success,Success (OCISLY)
72.0,12 June 2019 14:17,F9 B5 B1051-2,"Vandenberg, SLC‑4E",RADARSAT Constellation (3 satellites),"4,200 kg (9,300 lb)",SSO,Canadian Space Agency (CSA),Success,Success (LZ‑4)
73.0,25 July 2019 22:01,F9 B5 B1056-2,"Cape Canaveral, SLC‑40",SpaceX CRS-18 (Dragon C108.3),"2,268 kg (5,000 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
74.0,6 August 2019 23:23,F9 B5 B1047-3,"Cape Canaveral, SLC‑40",AMOS-17,"6,500 kg (14,300 lb)",GTO,Spacecom,Success,No attempt
75.0,11 November 2019 14:56,F9 B5 B1048-4,"Cape Canaveral, SLC‑40",Starlink: Launch 1 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success (OCISLY)
76.0,5 December 2019 17:29,F9 B5 B1059-1,"Cape Canaveral, SLC‑40",SpaceX CRS-19 (Dragon C106.3),"2,617 kg (5,769 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success (OCISLY)
77.0,17 December 2019 00:10,F9 B5 B1056-3,"Cape Canaveral, SLC‑40",JCSat-18 / Kacific 1,"6,956 kg (15,335 lb)",GTO,Sky Perfect JSAT Kacific 1,Success,Success (OCISLY)
